"time","dayOfWeek","weekDay","workHour","people","occupancyNote","inCo2","inPressure","inTemp","inHumid","inPart2_5","inPart10","outHumid","outTemp","outPressure","windSpeed","peopleEvery30Min","dCo2since30Min","dMinSince30Min","people2Bin","people2EqualBin","people3Bin","people3EqualBin","peopleChange","halfHour","halfHour2","people_dlag1","people_dlead1","inCo2_dlag1","inCo2_dlead1","inPressure_dlag1","inPressure_dlead1","inTemp_dlag1","inTemp_dlead1","inHumid_dlag1","inHumid_dlead1","inPart2_5_dlag1","inPart2_5_dlead1","inPart10_dlag1","inPart10_dlead1","outHumid_dlag1","outHumid_dlead1","outTemp_dlag1","outTemp_dlead1","outPressure_dlag1","outPressure_dlead1","windSpeed_dlag1","windSpeed_dlead1","ventilationA","ventilationB1","ventilationB2"
2022-07-01 15:11:00,"Friday","weekday","working",0.146520146520147,"",0.0198458574181118,0.541666666666667,1,0,0.25,0.25,0.194677267057576,0.34453781512605,0.522708562019759,0.668523676880223,0.158088235294118,0.287587412587412,1,"occupied","4-and-higher","0-to-9","2-to-5","unchanged",2022-07-01 15:30:00,"15:30",0.329153605015674,0.310344827586207,0.0956295108259825,0.104450681635926,0.4,0.4,0.375,0.375,0.5,0.5,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.434857247386269,0.434857247386269,0.29059829059829,0.290598290598291,0.405937364071336,0.405937364071336,0.665738161559889,0.665738161559889,1,0,1
2022-07-01 15:21:00,"Friday","weekday","working",0.124542124542125,"",0,0.541666666666667,1,0,0.25,0.25,0.211813529487194,0.323529411764706,0.522708562019759,0.668523676880223,0.121323529411765,0.396416083916084,0,"occupied","0-to-3","0-to-9","2-to-5","decrease",2022-07-01 15:30:00,"15:30",0.310344827586207,0.294670846394984,0.104450681635926,0.128708901363272,0.4,0.4,0.375,0.125,0.5,0.583333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.434857247386269,0.397244853448155,0.290598290598291,0.316239316239316,0.405937364071336,0.405937364071336,0.665738161559889,0.665738161559889,0.8,0,0.8
2022-07-01 15:31:00,"Friday","weekday","working",0.0842490842490842,"",0.00346820809248557,0.541666666666667,0.75,0.0434782608695652,0.25,0.25,0.197789771866221,0.327731092436975,0.522708562019759,0.668523676880223,0.121323529411765,0.404283216783217,0.5,"occupied","0-to-3","0-to-9","2-to-5","decrease",2022-07-01 15:30:00,"15:30",0.294670846394984,0.310344827586207,0.128708901363272,0.145348837209302,0.4,0.4,0.125,0.25,0.583333333333333,0.583333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.397244853448155,0.372169924156078,0.316239316239316,0.333333333333333,0.405937364071336,0.405937364071336,0.665738161559889,0.665738161559889,0,0,0
2022-07-01 15:41:00,"Friday","weekday","working",0.0622710622710623,"",0.0229287090558767,0.541666666666667,0.625,0.0869565217391304,0.25,0.25,0.162992667544852,0.348739495798319,0.522708562019759,0.668523676880223,0.121323529411765,0.448426573426573,1,"empty","0-to-3","0-to-9","0-to-1","decrease",2022-07-01 16:00:00,"16:00",0.310344827586207,0.326018808777429,0.145348837209302,0.164795509222133,0.4,0.4,0.25,0.25,0.583333333333333,0.583333333333333,0.333333333333333,0,0.333333333333333,0,0.372169924156078,0.372169924156078,0.333333333333333,0.333333333333333,0.405937364071336,0.405937364071336,0.665738161559889,0.665738161559889,0,0,0
2022-07-01 15:51:00,"Friday","weekday","working",0.0586080586080586,"",0.0610789980732178,0.541666666666667,0.5,0.130434782608696,0,0,0.128195563223483,0.369747899159664,0.522708562019759,0.668523676880223,0.0551470588235294,0.396416083916084,0,"empty","0-to-3","0-to-9","0-to-1","decrease",2022-07-01 16:00:00,"16:00",0.326018808777429,0.373040752351097,0.164795509222133,0.145549318364074,0.4,0.4,0.25,0.25,0.583333333333333,0.583333333333333,0,0.333333333333333,0,0.333333333333333,0.372169924156078,0.397371494505185,0.333333333333333,0.32051282051282,0.405937364071336,0.406046107003045,0.665738161559889,0.662952646239554,0,0,0
2022-07-01 16:01:00,"Friday","weekday","working",0.10989010989011,"",0.0807321772639692,0.541666666666667,0.375,0.173913043478261,0,0,0.114276721494935,0.378151260504202,0.522777167947311,0.665738161559889,0.0551470588235294,0.440996503496503,0.5,"occupied","0-to-3","0-to-9","2-to-5","increase",2022-07-01 16:00:00,"16:00",0.373040752351097,0.332288401253918,0.145549318364074,0.139935846030473,0.4,0.4,0.25,0.375,0.583333333333333,0.583333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.397371494505185,0.41417254140459,0.32051282051282,0.311965811965812,0.406046107003045,0.407024793388429,0.662952646239554,0.637883008356546,0,0,0
2022-07-01 16:11:00,"Friday","weekday","working",0.113553113553114,"",0.094990366088632,0.541666666666667,0.375,0.217391304347826,0,0,0.114276721494935,0.378151260504202,0.523463227222832,0.637883008356546,0.0551470588235294,0.473339160839161,1,"occupied","0-to-3","0-to-9","2-to-5","increase",2022-07-01 16:30:00,"16:30",0.332288401253918,0.304075235109718,0.139935846030473,0.147955092221331,0.4,0.4,0.375,0.375,0.583333333333333,0.583333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.41417254140459,0.41417254140459,0.311965811965812,0.311965811965812,0.407024793388429,0.407024793388429,0.637883008356546,0.637883008356546,0,0,0
2022-07-01 16:21:00,"Friday","weekday","working",0.0842490842490842,"",0.116955684007707,0.541666666666667,0.375,0.260869565217391,0,0,0.114276721494935,0.378151260504202,0.524149286498352,0.610027855153203,0.0808823529411765,0.396416083916084,0,"occupied","0-to-3","0-to-9","2-to-5","decrease",2022-07-01 16:30:00,"16:30",0.304075235109718,0.288401253918495,0.147955092221331,0.141940657578188,0.4,0.4,0.375,0.375,0.583333333333333,0.583333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.41417254140459,0.41417254140459,0.311965811965812,0.311965811965812,0.407024793388429,0.407024793388437,0.637883008356546,0.637883008356546,0,0,0
2022-07-01 16:31:00,"Friday","weekday","working",0.0366300366300366,"",0.133140655105973,0.541666666666667,0.375,0.304347826086957,0,0,0.114276721494935,0.378151260504202,0.524835345773878,0.582172701949861,0.0808823529411765,0.43312937062937,0.5,"empty","0-to-3","0-to-9","0-to-1","decrease",2022-07-01 16:30:00,"16:30",0.288401253918495,0.329153605015674,0.141940657578188,0.1257016840417,0.4,0.4,0.375,0.375,0.583333333333333,0.583333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.41417254140459,0.41417254140459,0.311965811965812,0.311965811965812,0.407024793388437,0.407024793388429,0.637883008356546,0.637883008356546,0,0,0
2022-07-01 16:41:00,"Friday","weekday","working",0.0366300366300366,"",0.133718689788054,0.541666666666667,0.375,0.347826086956522,0,0,0.114276721494935,0.378151260504202,0.525521405049399,0.554317548746518,0.0808823529411765,0.434440559440559,1,"empty","0-to-3","0-to-9","0-to-1","unchanged",2022-07-01 17:00:00,"17:00",0.329153605015674,0.31974921630094,0.1257016840417,0.120890136327185,0.4,0.4,0.375,0.25,0.583333333333333,0.583333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.41417254140459,0.41417254140459,0.311965811965812,0.311965811965812,0.407024793388429,0.407024793388429,0.637883008356546,0.637883008356546,0,0,0
