time,number,note
2022-03-21 16:37:00,7,door open
2022-03-21 16:38:00,7,door open
2022-03-21 16:39:00,6,door open
2022-03-21 16:40:00,8,door open
2022-03-21 16:41:00,5,door open
2022-03-21 16:42:00,5,door open
2022-03-21 16:43:00,5,door open
2022-03-21 16:44:00,11,door open
2022-03-21 16:45:00,7,door open
2022-03-21 16:46:00,7,door open
2022-03-21 16:47:00,7,door open
2022-03-21 16:48:00,7,door open
2022-03-21 16:49:00,7,door open
2022-03-21 16:50:00,7,door open
2022-03-21 16:51:00,7,door open
2022-03-21 16:52:00,7,door open
2022-03-21 16:53:00,7,door open
2022-03-21 16:54:00,7,door open
2022-03-21 16:55:00,7,door open
2022-03-21 16:56:00,7,door open
2022-03-21 16:57:00,7,door open
2022-03-21 16:58:00,7,door open
2022-03-21 16:59:00,7,door open
2022-03-21 17:00:00,7,door open
2022-03-21 17:01:00,7,door open
2022-03-21 17:02:00,7,door open
2022-03-21 17:03:00,7,door open
2022-03-21 17:04:00,7,door open
2022-03-21 17:05:00,7,door open
2022-03-21 17:06:00,7,door open
2022-03-21 17:07:00,7,door open
2022-03-21 17:08:00,7,door open
2022-03-21 17:09:00,7,door open
2022-03-21 17:10:00,7,door open
2022-03-21 17:11:00,7,door open
2022-03-21 17:12:00,7,door open
2022-03-21 17:13:00,7,door open
2022-03-21 17:14:00,7,door open
2022-03-21 17:15:00,7,door open
2022-03-21 17:16:00,7,door open
2022-03-21 17:17:00,7,door open
2022-03-21 17:18:00,7,door open
2022-03-21 17:19:00,7,door open
2022-03-21 17:20:00,7,door open
2022-03-21 17:21:00,7,door open
2022-03-21 17:22:00,7,door open
2022-03-21 17:23:00,7,door open
2022-03-21 17:24:00,7,door open
2022-03-21 17:25:00,9,door open
2022-03-21 17:26:00,9,door open
2022-03-21 17:27:00,9,door open
2022-03-21 17:28:00,9,door open
2022-03-21 17:29:00,9,door open
2022-03-21 17:30:00,9,door open
2022-03-21 17:31:00,9,door open
2022-03-21 17:32:00,9,door open
2022-03-21 17:33:00,9,door open
2022-03-21 17:34:00,9,door open
2022-03-21 17:35:00,9,door open
2022-03-21 17:36:00,9,door open
2022-03-21 17:37:00,9,door open
2022-03-21 17:38:00,9,door open
2022-03-21 17:39:00,9,door open
2022-03-21 17:40:00,9,door open
2022-03-21 17:41:00,9,door open
2022-03-21 17:42:00,9,door open
2022-03-21 17:43:00,9,door open
2022-03-21 17:44:00,9,door open
2022-03-21 17:45:00,9,door open
2022-03-21 17:46:00,9,door open
2022-03-21 17:47:00,9,door open
2022-03-21 17:48:00,9,door open
2022-03-21 17:49:00,9,door open
2022-03-21 17:50:00,9,door open
2022-03-21 17:51:00,7,door open
2022-03-21 17:52:00,7,door open
2022-03-21 17:53:00,7,door open
2022-03-21 17:54:00,7,door open
2022-03-21 17:55:00,7,door open
2022-03-21 17:56:00,7,door open
2022-03-21 17:57:00,7,door open
2022-03-21 17:58:00,7,door open
2022-03-21 17:59:00,7,door open
2022-03-21 18:00:00,8,door open
2022-03-21 18:01:00,8,door open
2022-03-21 18:02:00,8,door open
2022-03-21 18:03:00,8,door open
2022-03-21 18:04:00,8,door open
2022-03-21 18:05:00,8,door open
2022-03-21 18:06:00,8,door open
2022-03-21 18:07:00,8,door open
2022-03-21 18:08:00,8,door open
2022-03-21 18:09:00,8,door open
2022-03-21 18:10:00,8,door open
2022-03-21 18:11:00,8,door open
2022-03-21 18:12:00,8,door open
2022-03-21 18:13:00,8,door open
2022-03-21 18:14:00,8,door open
2022-03-21 18:15:00,7,door open
2022-03-21 18:16:00,7,door open
