Time,Datastream Name,Value
2022-03-26 23:26:00,Temperature,21.0
2022-03-26 23:26:00,Relative Humidity,29.0
2022-03-26 23:26:00,Fine Particles 2_5,6.0
2022-03-26 23:26:00,Fine Particles 10,10.0
2022-03-26 23:26:00,ABC Status,1.0
2022-03-26 23:24:00,CO2,413.0
2022-03-26 23:24:00,PRESSURE,1038.0
2022-03-26 23:24:00,Temperature,21.0
2022-03-26 23:24:00,Relative Humidity,29.0
2022-03-26 23:24:00,Fine Particles 2_5,5.0
2022-03-26 23:24:00,Fine Particles 10,9.0
2022-03-26 23:24:00,ABC Status,1.0
2022-03-26 23:22:00,CO2,417.0
2022-03-26 23:22:00,PRESSURE,1038.0
2022-03-26 23:22:00,Temperature,21.0
2022-03-26 23:22:00,Relative Humidity,29.0
2022-03-26 23:22:00,Fine Particles 2_5,5.0
2022-03-26 23:22:00,Fine Particles 10,8.0
2022-03-26 23:22:00,ABC Status,1.0
2022-03-26 23:20:00,CO2,412.0
2022-03-26 23:20:00,PRESSURE,1038.0
2022-03-26 23:20:00,Temperature,21.0
2022-03-26 23:20:00,Relative Humidity,29.0
2022-03-26 23:20:00,Fine Particles 2_5,5.0
2022-03-26 23:20:00,Fine Particles 10,9.0
2022-03-26 23:20:00,ABC Status,1.0
2022-03-26 23:18:00,CO2,413.0
2022-03-26 23:18:00,PRESSURE,1038.0
2022-03-26 23:18:00,Temperature,21.0
2022-03-26 23:18:00,Relative Humidity,29.0
2022-03-26 23:18:00,Fine Particles 2_5,5.0
2022-03-26 23:18:00,Fine Particles 10,8.0
2022-03-26 23:18:00,ABC Status,1.0
2022-03-26 23:16:00,CO2,414.0
2022-03-26 23:16:00,PRESSURE,1038.0
2022-03-26 23:16:00,Temperature,21.0
2022-03-26 23:16:00,Relative Humidity,29.0
2022-03-26 23:16:00,Fine Particles 2_5,5.0
2022-03-26 23:16:00,Fine Particles 10,9.0
2022-03-26 23:16:00,ABC Status,1.0
2022-03-26 23:14:00,CO2,413.0
2022-03-26 23:14:00,PRESSURE,1038.0
2022-03-26 23:14:00,Temperature,21.0
2022-03-26 23:14:00,Relative Humidity,29.0
2022-03-26 23:14:00,Fine Particles 2_5,5.0
2022-03-26 23:14:00,Fine Particles 10,9.0
2022-03-26 23:14:00,ABC Status,1.0
2022-03-26 23:12:00,CO2,413.0
2022-03-26 23:12:00,PRESSURE,1038.0
2022-03-26 23:12:00,Temperature,21.0
2022-03-26 23:12:00,Relative Humidity,29.0
2022-03-26 23:12:00,Fine Particles 2_5,5.0
2022-03-26 23:12:00,Fine Particles 10,8.0
2022-03-26 23:12:00,ABC Status,1.0
2022-03-26 23:10:00,CO2,413.0
2022-03-26 23:10:00,PRESSURE,1038.0
2022-03-26 23:10:00,Temperature,21.0
2022-03-26 23:10:00,Relative Humidity,29.0
2022-03-26 23:10:00,Fine Particles 2_5,5.0
2022-03-26 23:10:00,Fine Particles 10,9.0
2022-03-26 23:10:00,ABC Status,1.0
2022-03-26 23:08:00,CO2,411.0
2022-03-26 23:08:00,PRESSURE,1038.0
2022-03-26 23:08:00,Temperature,21.0
2022-03-26 23:08:00,Relative Humidity,28.0
2022-03-26 23:08:00,Fine Particles 2_5,5.0
2022-03-26 23:08:00,Fine Particles 10,9.0
2022-03-26 23:08:00,ABC Status,1.0
2022-03-26 23:06:00,CO2,409.0
2022-03-26 23:06:00,PRESSURE,1038.0
2022-03-26 23:06:00,Temperature,21.0
2022-03-26 23:06:00,Relative Humidity,28.0
2022-03-26 23:06:00,Fine Particles 2_5,5.0
2022-03-26 23:06:00,Fine Particles 10,9.0
2022-03-26 23:06:00,ABC Status,1.0
2022-03-26 23:04:00,CO2,412.0
2022-03-26 23:04:00,PRESSURE,1038.0
2022-03-26 23:04:00,Temperature,21.0
2022-03-26 23:04:00,Relative Humidity,28.0
2022-03-26 23:04:00,Fine Particles 2_5,5.0
2022-03-26 23:04:00,Fine Particles 10,8.0
2022-03-26 23:04:00,ABC Status,1.0
2022-03-26 23:02:00,CO2,413.0
2022-03-26 23:02:00,PRESSURE,1038.0
2022-03-26 23:02:00,Temperature,21.0
