station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
EHBK,2022-06-16 11:25,71.60,46.40,40.57,60.00,9.00,0.00,30.21,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,EHBK 161125Z AUTO 06009KT 010V100 9999 NCD 22/08 Q1023 NOSIG,M
EHBK,2022-06-16 11:55,73.40,48.20,40.85,60.00,6.00,0.00,30.21,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,EHBK 161155Z AUTO 06006KT 350V110 9999 NCD 23/09 Q1023 NOSIG,M
EHBK,2022-06-16 12:25,75.20,50.00,41.14,M,6.00,0.00,30.21,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,EHBK 161225Z AUTO VRB06KT 9999 NCD 24/10 Q1023 NOSIG,M
EHBK,2022-06-16 12:55,75.20,48.20,38.46,40.00,7.00,0.00,30.21,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,EHBK 161255Z AUTO 04007KT 340V080 9999 NCD 24/09 Q1023 NOSIG,M
EHBK,2022-06-16 13:25,75.20,48.20,38.46,350.00,8.00,0.00,30.21,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,EHBK 161325Z AUTO 35008KT 310V040 9999 NSC 24/09 Q1023 NOSIG,M
EHBK,2022-06-16 13:55,75.20,50.00,41.14,30.00,7.00,0.00,30.21,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,EHBK 161355Z AUTO 03007KT 330V080 9999 NSC 24/10 Q1023 NOSIG,M
EHBK,2022-06-16 14:25,75.20,48.20,38.46,30.00,8.00,0.00,30.21,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,EHBK 161425Z AUTO 03008KT 350V080 9999 NSC 24/09 Q1023 NOSIG,M
EHBK,2022-06-16 14:55,75.20,50.00,41.14,60.00,9.00,0.00,30.21,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,EHBK 161455Z AUTO 06009KT 010V100 9999 NSC 24/10 Q1023 NOSIG,M
EHBK,2022-06-16 15:25,77.00,50.00,38.74,30.00,10.00,0.00,30.21,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,77.00,EHBK 161525Z AUTO 03010KT 350V070 9999 NSC 25/10 Q1023 NOSIG,M
EHBK,2022-06-16 15:55,75.20,48.20,38.46,30.00,9.00,0.00,30.21,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,EHBK 161555Z AUTO 03009KT 9999 NSC 24/09 Q1023 NOSIG,M
EHBK,2022-06-16 16:25,73.40,48.20,40.85,30.00,6.00,0.00,30.21,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,EHBK 161625Z AUTO 03006KT 360V070 9999 NSC 23/09 Q1023 NOSIG,M
EHBK,2022-06-16 16:55,75.20,48.20,38.46,30.00,7.00,0.00,30.21,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,EHBK 161655Z AUTO 03007KT 9999 NSC 24/09 Q1023 NOSIG,M
EHBK,2022-06-16 17:25,75.20,48.20,38.46,40.00,6.00,0.00,30.18,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,75.20,EHBK 161725Z AUTO 04006KT 010V070 9999 NSC 24/09 Q1022 NOSIG,M
EHBK,2022-06-16 17:55,71.60,48.20,43.42,50.00,6.00,0.00,30.18,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,EHBK 161755Z AUTO 05006KT 010V080 9999 NSC 22/09 Q1022 NOSIG,M
EHBK,2022-06-16 18:25,73.40,48.20,40.85,50.00,6.00,0.00,30.21,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,73.40,EHBK 161825Z AUTO 05006KT 9999 NSC 23/09 Q1023 NOSIG,M
EHBK,2022-06-16 18:55,71.60,48.20,43.42,80.00,6.00,0.00,30.21,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,71.60,EHBK 161855Z AUTO 08006KT 050V110 9999 NSC 22/09 Q1023 NOSIG,M
EHBK,2022-06-16 19:25,68.00,50.00,52.51,70.00,6.00,0.00,30.21,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,EHBK 161925Z AUTO 07006KT 9999 NSC 20/10 Q1023 NOSIG,M
EHBK,2022-06-16 19:55,68.00,50.00,52.51,70.00,5.00,0.00,30.21,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,EHBK 161955Z AUTO 07005KT 030V090 9999 NSC 20/10 Q1023 NOSIG,M
EHBK,2022-06-16 20:25,66.20,50.00,55.88,60.00,5.00,0.00,30.21,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.20,EHBK 162025Z AUTO 06005KT 9999 NSC 19/10 Q1023 NOSIG,M
EHBK,2022-06-16 20:55,66.20,50.00,55.88,80.00,5.00,0.00,30.24,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.20,EHBK 162055Z AUTO 08005KT 9999 NSC 19/10 Q1024 NOSIG,M
EHBK,2022-06-16 21:25,64.40,50.00,59.50,80.00,4.00,0.00,30.24,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.40,EHBK 162125Z AUTO 08004KT 9999 NSC 18/10 Q1024 NOSIG,M
EHBK,2022-06-16 21:55,62.60,50.00,63.38,90.00,3.00,0.00,30.24,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,62.60,EHBK 162155Z AUTO 09003KT 9999 NSC 17/10 Q1024 NOSIG,M
EHBK,2022-06-16 22:25,62.60,50.00,63.38,100.00,4.00,0.00,30.24,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,62.60,EHBK 162225Z AUTO 10004KT 9999 NSC 17/10 Q1024 NOSIG,M
EHBK,2022-06-16 22:55,60.80,50.00,67.54,90.00,4.00,0.00,30.24,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,EHBK 162255Z AUTO 09004KT 9999 NSC 16/10 Q1024 NOSIG,M
EHBK,2022-06-16 23:25,60.80,50.00,67.54,100.00,4.00,0.00,30.24,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,EHBK 162325Z AUTO 10004KT 9999 NSC 16/10 Q1024 NOSIG,M
EHBK,2022-06-16 23:55,60.80,50.00,67.54,110.00,4.00,0.00,30.24,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,EHBK 162355Z AUTO 11004KT 9999 NSC 16/10 Q1024 NOSIG,M
EHBK,2022-06-17 00:25,60.80,50.00,67.54,120.00,5.00,0.00,30.24,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,EHBK 170025Z AUTO 12005KT 9999 NSC 16/10 Q1024 NOSIG,M
EHBK,2022-06-17 00:55,59.00,50.00,72.01,150.00,2.00,0.00,30.24,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,EHBK 170055Z AUTO 15002KT 9999 NSC 15/10 Q1024 NOSIG,M
EHBK,2022-06-17 01:25,57.20,50.00,76.82,M,1.00,0.00,30.24,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,EHBK 170125Z AUTO VRB01KT 9999 NSC 14/10 Q1024 NOSIG,M
EHBK,2022-06-17 01:55,57.20,50.00,76.82,160.00,2.00,0.00,30.24,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,EHBK 170155Z AUTO 16002KT 9999 NSC 14/10 Q1024 NOSIG,M
EHBK,2022-06-17 02:25,55.40,50.00,81.99,140.00,3.00,0.00,30.24,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,EHBK 170225Z AUTO 14003KT 9999 NSC 13/10 Q1024 NOSIG,M
EHBK,2022-06-17 02:55,57.20,50.00,76.82,190.00,2.00,0.00,30.24,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,EHBK 170255Z AUTO 19002KT 9999 NSC 14/10 Q1024 NOSIG,M
EHBK,2022-06-17 03:25,57.20,50.00,76.82,170.00,3.00,0.00,30.24,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,EHBK 170325Z AUTO 17003KT 9999 NSC 14/10 Q1024 NOSIG,M
EHBK,2022-06-17 03:55,60.80,50.00,67.54,170.00,4.00,0.00,30.24,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.80,EHBK 170355Z AUTO 17004KT 9999 NSC 16/10 Q1024 NOSIG,M
